vmax,load_scale,pv_scale,status,objective,maxgap,maxratio,n_at_vmax,min_branch_P,vpeak,exact,class,fail_reason
1.05,0.15,0.3,SOLVED,-965.2755940675124,5.1371850688305964e-9,0.004392554537477698,0,-0.33192363853152246,1.020212920792743,true,exact,
1.05,0.15,0.5,SOLVED,-952.4187054903437,1.0438367743087484e-8,0.00851592654976512,0,-0.676801010304494,1.0453358983763845,true,exact,
1.05,0.15,0.7,SOLVED,-940.4317423286243,1.5794533774263602,9062.864568440338,2,-0.8192891414406143,1.0499999999654708,false,inexact,
1.05,0.15,0.9,SOLVED,-929.9720006247628,5.401994013464831,9576.753602966013,4,-0.9996345813403457,1.04999999996724,false,inexact,
1.05,0.15,1.0,SOLVED,-925.3277883692938,7.545764268372118,9594.804671931994,5,-1.0940377589332826,1.049999999848978,false,inexact,
1.05,0.15,1.1,SOLVED,-920.884036022595,9.468806835464825,9586.724474767982,5,-1.181906789562316,1.0499999999879177,false,inexact,
1.05,0.15,1.2,FAILED:ErrorException,NaN,NaN,NaN,-1,NaN,NaN,,guard,"Battery complementarity violated at bus 3, t=14: p_ch·p_dch = 1.4838191897494896e-5 ≥ τ·Pmax² = 1.0000000000000003e-5 (relative τ=0.001, Pmax≈0.1; App. C, threa"
1.05,0.15,1.4,SOLVED,-908.7214225261681,11.363322634758955,9874.273937015076,9,-1.3529864019206437,1.0499999998995402,false,inexact,
1.05,0.15,1.6,FAILED:ErrorException,NaN,NaN,NaN,-1,NaN,NaN,,guard,"Battery complementarity violated at bus 2, t=9: p_ch·p_dch = 1.944594299152553e-5 ≥ τ·Pmax² = 1.0000000000000003e-5 (relative τ=0.001, Pmax≈0.1; App. C, threat "
1.05,0.15,2.0,FAILED:ErrorException,NaN,NaN,NaN,-1,NaN,NaN,,guard,"Battery complementarity violated at bus 2, t=8: p_ch·p_dch = 2.134326619660959e-5 ≥ τ·Pmax² = 1.0000000000000003e-5 (relative τ=0.001, Pmax≈0.1; App. C, threat "
1.05,0.2,0.3,SOLVED,-972.1423238383684,1.400191947597499e-8,0.013451069539975272,0,-0.27373149250467804,1.0144549559953575,true,exact,
1.05,0.2,0.5,SOLVED,-959.201632032408,4.765381336063745e-9,0.0027315792102807165,0,-0.6208296728863331,1.039863907006696,true,exact,
1.05,0.2,0.7,SOLVED,-946.9027632601812,0.7184700665421151,8129.593120720382,1,-0.7984348282621009,1.0499999999228697,false,inexact,
1.05,0.2,0.9,SOLVED,-935.9598071850513,4.526610947178788,9516.513103209954,4,-0.9764685898395538,1.0499999998826575,false,inexact,
1.05,0.2,1.0,SOLVED,-931.048822110437,6.53364697883626,9570.718781150263,4,-1.0698988325740288,1.0499999999325509,false,inexact,
1.05,0.2,1.1,SOLVED,-926.4824503605207,8.513113457747012,9573.610193127794,5,-1.1582477134276372,1.0499999999461171,false,inexact,
1.05,0.2,1.2,SOLVED,-922.071588543317,10.437737223498573,9608.606808212406,5,-1.2458552350884533,1.0499999999639147,false,inexact,
1.05,0.2,1.4,SOLVED,-913.8017067370689,11.286262199191107,9854.099696354078,9,-1.3500633183160973,1.0499999999597882,false,inexact,
1.05,0.2,1.6,FAILED:ErrorException,NaN,NaN,NaN,-1,NaN,NaN,,guard,"Battery complementarity violated at bus 2, t=9: p_ch·p_dch = 1.956054401310203e-5 ≥ τ·Pmax² = 1.0000000000000003e-5 (relative τ=0.001, Pmax≈0.1; App. C, threat "
1.05,0.2,2.0,FAILED:ErrorException,NaN,NaN,NaN,-1,NaN,NaN,,guard,"Battery complementarity violated at bus 2, t=8: p_ch·p_dch = 1.8372120321646648e-5 ≥ τ·Pmax² = 1.0000000000000003e-5 (relative τ=0.001, Pmax≈0.1; App. C, threat"
1.05,0.3,0.3,SOLVED,-986.5680810044056,3.005462476807219e-8,0.023670753705556116,0,-0.13307910508571655,1.000945993551539,true,exact,
1.05,0.3,0.5,SOLVED,-973.4128224160729,1.6247236916738447e-8,0.014735986791906863,0,-0.4860811666602228,1.027094326277952,true,exact,
1.05,0.3,0.7,SOLVED,-960.6170793912787,2.782107849652604e-9,0.0016082995506545843,1,-0.8041050085361852,1.0499999998296474,true,exact,
1.05,0.3,0.9,SOLVED,-948.9122224202996,2.742438548344861,9258.281502251413,2,-0.9276492498042779,1.0499999999603462,false,inexact,
1.05,0.3,1.0,SOLVED,-943.4605840489407,4.6289051035591795,9458.140312244324,2,-1.0163864184615323,1.0499999999589835,false,inexact,
1.05,0.3,1.1,SOLVED,-938.333954268595,6.49263840075684,9520.356679812696,4,-1.1046100069788696,1.0499999999097696,false,inexact,
1.05,0.3,1.2,SOLVED,-933.6655047867899,8.594749183464367,9528.930107986445,4,-1.1978015495339704,1.049999999833633,false,inexact,
1.05,0.3,1.4,SOLVED,-924.820435555115,11.127054704606238,9622.265060399082,6,-1.3382619957727346,1.0499999999674965,false,inexact,
1.05,0.3,1.6,SOLVED,-916.7680328562748,11.058990094704221,9841.45744582353,6,-1.4285001841750242,1.049999999880544,false,inexact,
1.05,0.3,2.0,FAILED:ErrorException,NaN,NaN,NaN,-1,NaN,NaN,,guard,"Battery complementarity violated at bus 2, t=9: p_ch·p_dch = 2.0774547606685334e-5 ≥ τ·Pmax² = 1.0000000000000003e-5 (relative τ=0.001, Pmax≈0.1; App. C, threat"
1.05,0.4,0.3,FAILED:ErrorException,NaN,NaN,NaN,-1,NaN,NaN,,infeasible,Solve failed — refusing to trust results: |   termination_status : INFEASIBLE |   primal_status      : INFEASIBLE_POINT |   dual_status        : INFEASIBILITY_CERTIFI
1.05,0.4,0.5,FAILED:ErrorException,NaN,NaN,NaN,-1,NaN,NaN,,infeasible,Solve failed — refusing to trust results: |   termination_status : INFEASIBLE |   primal_status      : INFEASIBLE_POINT |   dual_status        : INFEASIBILITY_CERTIFI
1.05,0.4,0.7,FAILED:ErrorException,NaN,NaN,NaN,-1,NaN,NaN,,infeasible,Solve failed — refusing to trust results: |   termination_status : INFEASIBLE |   primal_status      : INFEASIBLE_POINT |   dual_status        : INFEASIBILITY_CERTIFI
